"store","min_date","max_date","station","name","lat","lon","dist"
15,"2017-03-15","2019-03-30","UKE00107650","HEATHROW",51.4789,0.4489,20.5621726193438
15,"2017-03-15","2019-03-30","UKE00105927","ALICE HOLT LODGE",51.1767,0.8481,23.4576689795948
15,"2017-03-15","2019-03-30","UKE00105917","WYE",51.185,0.9481,27.1040344358692
15,"2017-03-15","2019-03-30","UKE00105657","GOUDHURST",51.08,0.46,34.0110075409581
15,"2017-03-15","2019-03-30","UKE00105915","HAMPSTEAD",51.5608,0.1789,40.9688734041961
15,"2017-03-15","2019-03-30","UKE00105901","WRITTLE",51.7317,0.4308,44.9428918176733
15,"2017-03-15","2019-03-30","UKE00105918","MANSTON",51.3458,1.34,46.5110154511082
15,"2017-03-15","2019-03-30","UKW00035047","MANSTON",51.35,1.3667,48.3537733982227
15,"2017-03-15","2019-03-30","UKE00105900","ROTHAMSTED",51.8067,0.3581,54.5650005476473
15,"2017-03-15","2019-03-30","UKE00105921","HASTINGS",50.855,0.5717,56.134183750447
15,"2017-03-15","2019-03-30","UKE00105919","BOGNOR REGIS",50.7808,0.6758,63.9608548965846
15,"2017-03-15","2019-03-30","UKE00105926","HAYLING ISLAND",50.7839,0.9839,67.2791832004958
15,"2017-03-15","2019-03-30","UKW00035050","WETHERSFIELD",51.9667,0.5,68.9165896987406
15,"2017-03-15","2019-03-30","UKE00105897","EAST BERGHOLT",51.9589,1.0267,71.4007232273998
15,"2017-03-15","2019-03-30","UKE00105920","EASTBOURNE",50.7589,0.285,71.6520289830943
15,"2017-03-15","2019-03-30","UKE00156888","WOBURN",52.0142,0.5942,73.3766231231278
15,"2017-03-15","2019-03-30","UKM00003772","HEATHROW",51.478,-0.461,79.6259035416568
15,"2017-03-15","2019-03-30","UKE00105898","WATTISHAM",52.1231,0.9617,87.6226115550799
15,"2017-03-15","2019-03-30","UKM00003590","WATTISHAM",52.127,0.956,87.9560717820308
15,"2017-03-15","2019-03-30","UKW00015018","BASSINGBOURN",52.1,0.05,93.112809634128
15,"2017-03-15","2019-03-30","UKW00035051","WOODBRIDGE",52.0833,1.4,95.213451963086
15,"2017-03-15","2019-03-30","UKE00105648","CAMBRIDGE (B. GDNS)",52.1931,0.1317,100.189511169404
15,"2017-03-15","2019-03-30","UKW00035048","BENTWATERS",52.1333,1.4333,101.135959412707
15,"2017-03-15","2019-03-30","UKW00015015","CHELVESTON",52.3,0.5333,105.389865336367
15,"2017-03-15","2019-03-30","UKE00105003","CAMBRIDGE NIAB",52.245,0.1031,106.271113110805
15,"2017-03-15","2019-03-30","UKW00035049","STANTON",52.3167,0.9167,108.155828688065
15,"2017-03-15","2019-03-30","UKW00035046","MILDENHALL",52.3667,0.4833,113.116668519638
15,"2017-03-15","2019-03-30","UKW00015014","MOLESWORTH",52.3833,0.4167,115.550914299108
15,"2017-03-15","2019-03-30","UKW00035034","LAKENHEATH RAF",52.4,0.5667,116.305323244435
15,"2017-03-15","2019-03-30","UKW00015033","HUNTINGTON",52.3667,0.2167,116.623356061457
15,"2017-03-15","2019-03-30","UKW00015034","WYTON",52.35,0.1167,116.887317467859
15,"2017-03-15","2019-03-30","UKE00156864","MONKS WOOD",52.4008,0.2353,119.95419426047
15,"2017-03-15","2019-03-30","UKE00105922","WALLINGFORD",51.6031,-1.1081,126.191890331545
15,"2017-03-15","2019-03-30","UKW00015040","GREENHAM",51.3833,-1.2833,135.656571468324
15,"2017-03-15","2019-03-30","UK000056225","OXFORD",51.7667,-1.2667,141.478072574075
15,"2017-03-15","2019-03-30","UKW00035035","MARHAM",52.65,0.55,144.121820774166
