German,English
der öffentliche Dienst,the civil service
das Tauschmittel,means of exchange
der Verlag,publishing house
die Werbeagentur,advertising agency
eine Absage erteilen,to turn someone down (for a job)
der Müßiggang,idleness
die Berufsaussichten,job prospects
erforderlich,"required, mandatory, obligatory, imperative"
die Belegschaft,workforce
der Pendler,commuter
die Zufriedenheit am Arbeitsplatz,job satisfaction
sinngemäß,correspondingly (the basic sense of something)
im Geschäft sein,to be in business
der (un)gelernte Arbeiter,(un)skilled worker
erwirtschaften,generate (for the economy)
sich hocharbeiten,to work one’s way up
gute Umgangsformen,good manners
der Mittelständler,middle class person
die Spesen,expenses
der Facharbeiter,skilled worker
befördert werden,to be promoted
auf dem Weg nach oben sein,to be on the way to the top
entlassen,to be let go (fired)
der ständige Konkurrenzkampf,rat race
der Elternurlaub,parental leave
freiberuflich,freelance (adj.)
ein Risiko abwägen,to calculate a risk
der angelernte Arbeiter,semi-skilled worker
ablenken,"to distract, divert"
die Kündigung ,notice of dismissal
selbständig arbeiten,to be self-employed
die Telearbeit,"telecommuting, working from home"
der Arbeitsplatzabbau,job cuts
die Schichtarbeit,shift work
fristlos,without notice
die Selbstachtung,self-esteem
berechnen,"to calculate, to bill"
sich rentieren,to be profitable
das Blatt wenden,to turn the tide
das Kompliment erwidern,to return the compliment
leichte Beute sein,to be easy prey
im Nu sein,"in a flash, in a blink"
wie eh und je,as always
"in der Lage sein, etwas zu tun",to be in the position to do something
als letzter Ausweg,as a last resort
Es ist ein Jammer,It is a crying shame
die kalte Schulter zeigen,to give someone the cold shoulder
unter Druck stehen,to be under pressure
glimpflich davonkommen,to get off lightly
Hochachtung haben vor,to have great respect or esteem for
an der Schwelle stehen,"to be on the cusp, edge, brink, verge"
Spar dir den Atem,save your breath
sich auf dem Laufenden halten,"to stay on top of things, to keep up to date"
ein unausgesprochenes Verständnis,an unspoken agreement
Wind von etwas bekommen,to get wind of something
durch eine grausame Laune des Schicksals,by a sick twist of fate
der Vorsatz,"willful intent, premeditation"
(jemanden) zur Weißglut bringen,to make someone see red
einen Bedarf unterdrücken,to suppress a desire
das Geheimnis ist bei mir gut aufgehoben,Your secret's safe with me
ein Vermögen (für etwas) bezahlen,to pay a fortune for something
unter uns gesagt,between you and me
der Partylöwe,party animal
(wie) ein Schlag in den Magen,(like) a punch in the stomach
hin und wieder,"every now and then, on and off again"
es herrscht eine Nachfrage nach,there is a big demand for
"wie der Preis, so die Ware",you get what you pay for
den Markt überschwemmen,to flood the market
Nachfrage erzeugen,to create a market
das Geschäft blüht,business is booming
in finanzielle Schwierigkeiten geraten,to go into financial difficulties
Arbeitskräfte entlassen,to fire workers (to let them go)
Soll und Haben,credit and debit
eine Spitzenposition behaupten,to maintain a leading position
den Gürtel enger schnallen,to tighten one's belt
über meine Verhältnisse leben,to live beyond my means
meinen Verhältnissen entsprechend leben,to live within my means
Er hat Geldsorgen,he has money problems
das Geld aus dem Fenster werfen,to burn money (waste it)
von der Hand in den Mund leben,to live hand to mouth
Gerüchte besagen,rumor has it
es gibt kein Zurück,there is no going back
etwas in die Praxis umsetzen,to put something into practice
einen Vertrag abschließen,to enter into a treaty (unterschreiben)
einen Beruf ausüben,to pursue (practise) a profession
