"""bundesland"",""bezirk"",""gemeinde"",""gem_id"",""gem_plz"",""city"",""ort_plz"",""bu_lat"",""bu_lon"",""be_lat"",""be_lon"",""g_lat"",""g_lon"",""lat"",""lon"""
"Burgenland,""Jennersdorf"",""Jennersdorf"",10504,8380,""Rax"",""8380"",47.4743,16.5791,46.937159,16.140604,46.937159,16.140604,46.943112,16.161865"
"Burgenland,""Jennersdorf"",""Minihof-Liebau"",10505,8384,""Minihof-Liebau"",""8384"",47.4743,16.5791,46.937159,16.140604,46.881702,16.073079,46.881702,16.073079"
"Burgenland,""Jennersdorf"",""Minihof-Liebau"",10505,8384,""Tauka"",""8384"",47.4743,16.5791,46.937159,16.140604,46.881702,16.073079,46.863243,16.074847"
"Burgenland,""Jennersdorf"",""Minihof-Liebau"",10505,8384,""Windisch-Minihof"",""8384"",47.4743,16.5791,46.937159,16.140604,46.881702,16.073079,46.890796,16.095424"
"Burgenland,""Jennersdorf"",""Mogersdorf"",10506,8382,""Deutsch Minihof"",""8382"",47.4743,16.5791,46.937159,16.140604,46.947456,16.227845,46.970764,16.242413"
"Burgenland,""Jennersdorf"",""Mogersdorf"",10506,8382,""Mogersdorf"",""8382"",47.4743,16.5791,46.937159,16.140604,46.947456,16.227845,46.947456,16.227845"
"Burgenland,""Jennersdorf"",""Mogersdorf"",10506,8382,""Wallendorf"",""8382"",47.4743,16.5791,46.937159,16.140604,46.947456,16.227845,46.972444,16.233682"
"Burgenland,""Jennersdorf"",""Neuhaus am Klausenbach"",10507,8385,""Bonisdorf"",""8384"",47.4743,16.5791,46.937159,16.140604,46.868416,16.030427,46.842592,16.040639"
"Burgenland,""Jennersdorf"",""Neuhaus am Klausenbach"",10507,8385,""Bonisdorf"",""8385"",47.4743,16.5791,46.937159,16.140604,46.868416,16.030427,46.842592,16.040639"
"Burgenland,""Jennersdorf"",""Neuhaus am Klausenbach"",10507,8385,""Kalch"",""8385"",47.4743,16.5791,46.937159,16.140604,46.868416,16.030427,46.842172,16.010621"
"Burgenland,""Jennersdorf"",""Neuhaus am Klausenbach"",10507,8385,""Krottendorf bei Neuhaus am Klausenbach"",""8385"",47.4743,16.5791,46.937159,16.140604,46.868416,16.030427,46.849713,16.029642"
"Burgenland,""Jennersdorf"",""Neuhaus am Klausenbach"",10507,8385,""Neuhaus am Klausenbach"",""8385"",47.4743,16.5791,46.937159,16.140604,46.868416,16.030427,46.868416,16.030427"
"Burgenland,""Jennersdorf"",""Rudersdorf"",10508,7571,""Dobersdorf"",""7564"",47.4743,16.5791,46.937159,16.140604,47.051138,16.120093,47.024736,16.145517"
"Burgenland,""Jennersdorf"",""Rudersdorf"",10508,7571,""Rudersdorf"",""7571"",47.4743,16.5791,46.937159,16.140604,47.051138,16.120093,47.051138,16.120093"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Doiber"",""8383"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.920659,16.113406"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Gritsch"",""8383"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.923732,16.096596"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Neumarkt an der Raab"",""8380"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.927357,16.159641"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Oberdrosen"",""8383"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.884727,16.114233"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Oberdrosen"",""8384"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.884727,16.114233"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Sankt Martin an der Raab"",""8383"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.920999,16.133509"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Welten"",""8350"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.928083,16.077681"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Welten"",""8383"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.928083,16.077681"
"Burgenland,""Jennersdorf"",""Sankt Martin an der Raab"",10509,8383,""Welten"",""8385"",47.4743,16.5791,46.937159,16.140604,46.920999,16.133509,46.928083,16.077681"
"Burgenland,""Jennersdorf"",""Weichselbaum"",10510,8382,""Krobotek"",""8382"",47.4743,16.5791,46.937159,16.140604,46.941521,16.186261,46.970944,16.194219"
